time="2026-09-14T18:55:08.084291839Z" level=debug msg="Registering route" method=GET path=/system/df
time="2026-09-14T18:55:08.084314379Z" level=debug msg="Registering route" method=POST path=/auth
time="2026-09-14T18:55:08.084330497Z" level=debug msg="Registering route" method=GET path=/volumes
time="2026-09-14T18:55:08.084351420Z" level=debug msg="Registering route" method=GET path="/volumes/{name:.*}"
time="2026-09-14T18:55:08.084383291Z" level=debug msg="Registering route" method=POST path=/volumes/create
time="2026-09-14T18:55:08.084407563Z" level=debug msg="Registering route" method=POST path=/volumes/prune
time="2026-09-14T18:55:08.084436487Z" level=debug msg="Registering route" method=PUT path="/volumes/{name:.*}"
time="2026-09-14T18:55:08.084465637Z" level=debug msg="Registering route" method=DELETE path="/volumes/{name:.*}"
time="2026-09-14T18:55:08.084494988Z" level=debug msg="Registering route" method=POST path=/build
time="2026-09-14T18:55:08.084510620Z" level=debug msg="Registering route" method=POST path=/build/prune
time="2026-09-14T18:55:08.084525068Z" level=debug msg="Registering route" method=POST path=/build/cancel
time="2026-09-14T18:55:08.087096597Z" level=debug msg="Registering route" method=POST path=/session
time="2026-09-14T18:55:08.087176260Z" level=debug msg="Registering route" method=POST path=/swarm/init
time="2026-09-14T18:55:08.087212318Z" level=debug msg="Registering route" method=POST path=/swarm/join
time="2026-09-14T18:55:08.087257935Z" level=debug msg="Registering route" method=POST path=/swarm/leave
time="2026-09-14T18:55:08.087289787Z" level=debug msg="Registering route" method=GET path=/swarm
time="2026-09-14T18:55:08.087316795Z" level=debug msg="Registering route" method=GET path=/swarm/unlockkey
time="2026-09-14T18:55:08.087351626Z" level=debug msg="Registering route" method=POST path=/swarm/update
time="2026-09-14T18:55:08.087385831Z" level=debug msg="Registering route" method=POST path=/swarm/unlock
time="2026-09-14T18:55:08.087425066Z" level=debug msg="Registering route" method=GET path=/services
time="2026-09-14T18:55:08.087453764Z" level=debug msg="Registering route" method=GET path="/services/{id}"
time="2026-09-14T18:55:08.087511962Z" level=debug msg="Registering route" method=POST path=/services/create
time="2026-09-14T18:55:08.087549832Z" level=debug msg="Registering route" method=POST path="/services/{id}/update"
time="2026-09-14T18:55:08.087607167Z" level=debug msg="Registering route" method=DELETE path="/services/{id}"
time="2026-09-14T18:55:08.087655682Z" level=debug msg="Registering route" method=GET path="/services/{id}/logs"
time="2026-09-14T18:55:08.087713197Z" level=debug msg="Registering route" method=GET path=/nodes
time="2026-09-14T18:55:08.087747034Z" level=debug msg="Registering route" method=GET path="/nodes/{id}"
time="2026-09-14T18:55:08.087786859Z" level=debug msg="Registering route" method=DELETE path="/nodes/{id}"
time="2026-09-14T18:55:08.087825510Z" level=debug msg="Registering route" method=POST path="/nodes/{id}/update"
time="2026-09-14T18:55:08.087885221Z" level=debug msg="Registering route" method=GET path=/tasks
time="2026-09-14T18:55:08.087908565Z" level=debug msg="Registering route" method=GET path="/tasks/{id}"
time="2026-09-14T18:55:08.087949345Z" level=debug msg="Registering route" method=GET path="/tasks/{id}/logs"
time="2026-09-14T18:55:08.088031894Z" level=debug msg="Registering route" method=GET path=/secrets
time="2026-09-14T18:55:08.088061085Z" level=debug msg="Registering route" method=POST path=/secrets/create
time="2026-09-14T18:55:08.088101789Z" level=debug msg="Registering route" method=DELETE path="/secrets/{id}"
time="2026-09-14T18:55:08.088141439Z" level=debug msg="Registering route" method=GET path="/secrets/{id}"
time="2026-09-14T18:55:08.088187763Z" level=debug msg="Registering route" method=POST path="/secrets/{id}/update"
time="2026-09-14T18:55:08.088241582Z" level=debug msg="Registering route" method=GET path=/configs
time="2026-09-14T18:55:08.088273697Z" level=debug msg="Registering route" method=POST path=/configs/create
time="2026-09-14T18:55:08.088315795Z" level=debug msg="Registering route" method=DELETE path="/configs/{id}"
time="2026-09-14T18:55:08.088359779Z" level=debug msg="Registering route" method=GET path="/configs/{id}"
time="2026-09-14T18:55:08.088399689Z" level=debug msg="Registering route" method=POST path="/configs/{id}/update"
time="2026-09-14T18:55:08.088448072Z" level=debug msg="Registering route" method=GET path=/plugins
time="2026-09-14T18:55:08.088479503Z" level=debug msg="Registering route" method=GET path="/plugins/{name:.*}/json"
time="2026-09-14T18:55:08.088520777Z" level=debug msg="Registering route" method=GET path=/plugins/privileges
time="2026-09-14T18:55:08.088563471Z" level=debug msg="Registering route" method=DELETE path="/plugins/{name:.*}"
